epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
46,126.847,1.04578,0.74032,1.2398,0,0,0,0,3.92416,6.50781,2.75,0.001109,0.001109,0.001109
47,128.799,0.99201,0.7321,1.19912,0.50933,0.66667,0.55624,0.41195,0.85241,2.39046,0.92333,0.0010892,0.0010892,0.0010892
48,130.783,1.02197,0.86675,1.31802,0.86565,0.66667,0.66641,0.43349,1.67519,1.69834,1.54322,0.0010694,0.0010694,0.0010694
49,134.082,1.04097,0.74826,1.26507,0.86565,0.66667,0.66641,0.43349,1.67519,1.69834,1.54322,0.0010496,0.0010496,0.0010496
50,136.431,1.02409,0.76287,1.34861,0.87395,0.33333,0.33937,0.30365,1.44462,3.53663,1.61708,0.0010298,0.0010298,0.0010298
51,138.836,1.15482,0.86279,1.3888,0.89111,0.33333,0.33614,0.30253,1.60953,4.0709,1.59175,0.00101,0.00101,0.00101
52,140.802,0.93271,0.72115,1.15806,0.80563,0.33333,0.33633,0.26907,1.77701,4.12496,1.77167,0.0009902,0.0009902,0.0009902
53,144.268,1.10477,0.81773,1.27196,0.80563,0.33333,0.33633,0.26907,1.77701,4.12496,1.77167,0.0009704,0.0009704,0.0009704
54,146.251,1.15158,0.95811,1.36859,0.00459,0.33333,0.00571,0.00285,3.17073,7.33161,2.79727,0.0009506,0.0009506,0.0009506
55,150.467,0.9722,0.70061,1.21606,0,0,0,0,2.42077,20.5312,1.38633,0.0009308,0.0009308,0.0009308
56,152.527,1.17736,0.92965,1.37551,0.43616,0.33333,0.16844,0.06757,2.7391,9.86512,2.85004,0.000911,0.000911,0.000911
57,154.484,1.09426,0.74657,1.35399,0.43616,0.33333,0.16844,0.06757,2.7391,9.86512,2.85004,0.0008912,0.0008912,0.0008912
58,160.722,0.96108,0.69316,1.21544,0.7507,0.33333,0.336,0.06407,2.21485,8.63269,2.41631,0.0008714,0.0008714,0.0008714
59,163.12,1.17186,0.83235,1.38054,0.92027,0.66667,0.66625,0.40579,1.17621,2.32815,1.42525,0.0008516,0.0008516,0.0008516
60,165.268,0.9189,0.65751,1.18237,0.91163,0.66667,0.66669,0.42762,1.3866,2.80214,1.4353,0.0008318,0.0008318,0.0008318
61,170.877,0.95841,0.75365,1.26583,0.91163,0.66667,0.66669,0.42762,1.3866,2.80214,1.4353,0.000812,0.000812,0.000812
62,173.173,0.90185,0.67167,1.11685,0.9535,1,0.995,0.59261,1.11316,1.34586,1.16678,0.0007922,0.0007922,0.0007922
63,181.64,0.98866,0.75365,1.26902,0.97379,1,0.995,0.59051,1.10806,1.12365,1.15721,0.0007724,0.0007724,0.0007724
64,185.503,0.87059,0.66216,1.0861,0.95061,1,0.995,0.66788,1.02941,0.96424,1.07548,0.0007526,0.0007526,0.0007526
65,189.516,0.89411,0.72168,1.10689,0.95061,1,0.995,0.66788,1.02941,0.96424,1.07548,0.0007328,0.0007328,0.0007328
66,193.771,0.9617,0.75774,1.23903,0.97874,1,0.995,0.64602,1.02054,0.90653,1.04947,0.000713,0.000713,0.000713
67,196.176,0.8221,0.61848,1.09973,0.92241,0.66667,0.863,0.57945,1.25559,0.94191,1.15798,0.0006932,0.0006932,0.0006932
68,198.253,0.84427,0.6417,1.12825,0.73853,1,0.9125,0.60974,1.42503,0.85505,1.20998,0.0006734,0.0006734,0.0006734
69,201.888,1.02052,0.76229,1.32799,0.73853,1,0.9125,0.60974,1.42503,0.85505,1.20998,0.0006536,0.0006536,0.0006536
70,203.859,0.87523,0.69131,1.20136,0.74154,1,0.83,0.56509,1.31596,0.84745,1.16656,0.0006338,0.0006338,0.0006338
71,206.924,1.00509,0.73809,1.26143,0.96193,1,0.995,0.6042,1.15895,0.78201,1.12351,0.000614,0.000614,0.000614
72,211.216,0.89637,0.68871,1.19067,0.98117,1,0.995,0.71558,0.94056,0.5967,1.06734,0.0005942,0.0005942,0.0005942
73,218.581,0.88497,0.66456,1.23256,0.98117,1,0.995,0.71558,0.94056,0.5967,1.06734,0.0005744,0.0005744,0.0005744
74,224.363,0.85449,0.64622,1.18956,0.98496,1,0.995,0.77269,0.98052,0.5129,1.09257,0.0005546,0.0005546,0.0005546
75,230.757,0.99313,0.73438,1.27129,0.98556,1,0.995,0.69433,1.06271,0.52005,1.1085,0.0005348,0.0005348,0.0005348
76,236.454,0.93318,0.60588,1.17927,0.98414,1,0.995,0.68269,1.07558,0.53497,1.11391,0.000515,0.000515,0.000515
77,239.057,0.692,0.45852,0.99672,0.98414,1,0.995,0.68269,1.07558,0.53497,1.11391,0.0004952,0.0004952,0.0004952
78,241.277,0.82398,0.58423,1.21854,0.97941,1,0.995,0.69929,1.08892,0.58555,1.10535,0.0004754,0.0004754,0.0004754
79,244.305,0.73707,0.52579,1.0523,0.97498,1,0.995,0.64715,1.05917,0.6418,1.11578,0.0004556,0.0004556,0.0004556
